HoffmanJanssonEtAl2009 HoffmanJanssonStockli2009
HoffmanJohnson2008a HoffmanJohnson2008
HoffmanJohnson2008b HoffmanJohnson2008a
HoffmanJohnson2006b HoffmanJohnson2006a
HoffmanJohnsonEtAl2004 HoffmanJohnsonLogg2004
HoffmanJohnsonEtAl2004b HoffmanJohnsonLogg2004a
Hofmann2000 HofmannWarmuth-MetzBendszusEtAl2000
maxwell-amg HuTuminaroBochevEtAl2006
h-t-w HuTaiWinther2009
HuaIto1988 HuangItoh1988
hughes-franca HughesFranca1987
hughes-franca-balestra HughesFrancaBalestra1986
HughesFrancaEtAl1986 HughesFrancaBalestra1986a
HughesLevitEtAl1983 HughesLevitWinget1983
HughesLevitEtAl1983a HughesLevitWinget1983a
humphrey Humphrey2001
WilbersLangtangenEtAl2009 IIIBehieTrangenstein1988
incropera IncroperaDeWitt1996
tor IngebrigtsenMorganFaulderEtAl2004
isaksen IsaksenBazilevsKvamsdalEtAl2008
kvs IsaksenValen-SendstadMardalEtAl2008
JafriRiceEtAl1998 JafriRiceWinslow1998
JanssonJohnsonEtAl2005 JanssonJohnsonLogg2005
JanssonJohnsonEtAl2004 JanssonJohnsonLogg2004
doggy JiangJohnsonValen-SendstadEtAl2010
doggy2 JiangJohnsonValen-SendstadEtAl2010a
JohnsonHoffman JohnsonHoffman2007
JohnsonHoffmanEtAl2001 JohnsonHoffmanLogg2001
Weave Jones2009
SciPy JonesOliphantPetersonEtAl2009
jones1972 JonesLaunder1972
JonesLaunder1972 JonesLaunder1972a
karniadakis:2005 KarniadakisSherwin2005
K-L-W-02 KayLoghinWathen2002
kim85 KimMoin1985
sangho Kim2002
bejan KimuraBejan1983
www:ferari Kirbya
KirbyKnepleyEtAl2005 KirbyKnepleyLoggEtAl2005
KirbyKnepleyEtAl2005a KirbyKnepleyLoggEtAl2005a
KirbyKnepleyEtAl2004 KirbyKnepleyScott2004
KirbyLoggEtAl2006 KirbyLoggScottEtAl2006
KirbyLoggEtAl2006a KirbyLoggScottEtAl2006a
KirbyLoggEtAl2005 KirbyLoggScottEtAl2005
KirbyStroutEtAl2005 KirbyStroutHovlandEtAl2005
Klawonn98 Klawonn1998
KS99 KlawonnStarke1999
gstokes KobelkovOlshanskii2000
KohSrinivasanEtAl2006 KohSrinivasanChingEtAl2006
Kongable KongableLanzinoGermansonEtAl1996
krejza KrejzaSzydlikLiebeskindEtAl2005
LopezNigroEtAl2008 LopezNigroStorti2008
LangnerCafisoEtAl1990 LangnerCafisoMarceljaEtAl1990
langtangen Langtangen2010
Langtangen2006 Langtangen2009
Langtangen2009b Langtangen2009a
Langtangen2006:2 Langtangen2006
SC.4.Langtangen.2002.b LangtangenMardalWinther2002
LarssonHansboEtAl2002 LarssonHansboRunesson2002
launder1974 LaunderSharma1974
LeeSun1991 LeeSunCendes1991
LewMarsdenEtAl2003 LewMarsdenOrtizEtAl2003
kvs-sex LindekleivValen-SendstadMorganEtAl2010
LindermanCollinsEtAl2008 LindermanCollinsWangEtAl2008
Logg2008b Logg2008a
Logg2007b Logg2007
Logg2008a Logg2008b
Logg2007 Logg2007a
Logg2007a Logg2007b
Logg2006c Logg2006b
Logg2004e Logg2004c
Logg2004f Logg2004d
Logg2001b Logg2001a
Logg2001c Logg2001b
Logg1998d Logg1998c
Logg1998e Logg1998d
LoggLangtangenEtAl2009 LoggLangtangenCai2009
Logg2009a LoggMardal2009
LoggMardalEtAl2007a LoggMardalAlnaesEtAl2007
LoggMardalEtAl2007 LoggMardalAlnaesEtAl2007a
LoggMardalEtAl2007b LoggMardalAlnaesEtAl2007b
DOLFIN LoggWellsetEtAl2009
LoggWells2009 LoggWells2010
LoggWellsEtAl2009 LoggWellsothers2009
LW04 LoghinWathen2004
Longstreth LongstrethNelsonKoepsellEtAl1994
Loth2001 Lopes2007
JoachimLotz LotzMeierLeppertEtAl2002
Formaggia LucaMVenezianiEtAl2009
LearningPython Lutz2007
LutzPython2006 Lutz2006
L-N-W-02 LycheNilssenWinther2002
MadsenBinghamEtAl2003 MadsenBinghamSchaffer2003
Malik1984 MalikZangHussaini1984
SFC MardalAlnaes2009
SyFi MardalAlnaes2009a
MardalTaiEtAl2002 MardalTaiWinther2002
Oddrun MardalHentchelMyklebustEtAl2010
Mardal.2006.4 MardalNielsenCaiEtAl2007
Mardal.2006.5 MardalNilssenStaff2007
mixed:dpII:block MardalSundnesLangtangen2003
M-T-W-02 MardalTaiWinther2002a
Mardal2002 MardalTaiWinther2002b
M-W-09 MardalWinther
errata MardalWinther2006
M-W-04 MardalWinther2004
MardalZumbuschEtAl2003 MardalZumbuschLangtangen2003
PyNutshell Martelli2006
PythonCookbook MartelliAscher2005
MarPel2003 MartiniPelosiSelleri2003
MastersUsmaniEtAl1997 MastersUsmaniCrossEtAl1997
M-S-S-07 MathewSarkisSchaerer2007
McLaughlinSzaboEtAl1971 McLaughlinSzaboEisenman1971
MetcalfReidEtAl2004 MetcalfReidCohen2004
Mhurchu MhurchuAndersonJamrozikEtAl2001
Milhorat2003 MilhoratBolognese2003
Milhorat1999 MilhoratChouTrinidadEtAl1999
